{'angle': 0.0, 'elasticity': 0.1, 'extra_info': {   'friction': 1.0}, 'length': 6.0, 'tool_id': 0, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 13, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 14, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 15, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 16, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 17, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 18, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 19, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 20, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 21, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 22, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 23, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 24, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 25, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 26, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 27, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 28, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 29, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 30, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 31, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 32, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 33, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 34, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 35, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 36, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 37, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 38, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 39, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 40, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 41, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 42, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 43, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 44, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 45, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 46, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 47, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 48, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 49, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 50, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 51, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 52, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 53, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 54, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 55, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 56, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 57, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 58, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 59, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 60, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 61, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 62, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 63, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 64, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 65, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 66, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 67, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 68, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 69, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 70, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 71, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 72, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 73, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 74, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 75, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 76, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 77, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 78, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 79, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 80, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 81, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 82, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 83, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 84, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 85, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 86, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 87, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 88, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 89, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 90, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 91, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 92, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 93, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 94, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 95, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 96, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 97, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 98, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 99, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 100, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 101, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 102, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 103, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 104, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 105, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 106, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 107, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 108, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 109, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 110, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 111, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 112, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 113, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 114, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 115, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 116, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 117, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 118, 'tool_type': 'Ramp'}
{'angle': 2.8797932657906435, 'elasticity': 0.3, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 119, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 120, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 121, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 122, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 123, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 124, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 125, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 126, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 127, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 128, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 129, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 130, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 131, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 132, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 133, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 134, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 135, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 136, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 137, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 138, 'tool_type': 'Ramp'}
{'angle': 0.7853981633974483, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 139, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 140, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 141, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 142, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 143, 'tool_type': 'Ramp'}
{'angle': 1.0471975511965976, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 144, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 145, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 146, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 147, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 148, 'tool_type': 'Ramp'}
{'angle': 1.3089969389957472, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 149, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 150, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 151, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 152, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 153, 'tool_type': 'Ramp'}
{'angle': 1.5707963267948966, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 154, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 155, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 156, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 157, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 158, 'tool_type': 'Ramp'}
{'angle': 1.8325957145940461, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 159, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 160, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 161, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 162, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 163, 'tool_type': 'Ramp'}
{'angle': 2.0943951023931953, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 164, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 165, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 166, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 167, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 168, 'tool_type': 'Ramp'}
{'angle': 2.356194490192345, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 169, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 170, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 171, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 172, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 173, 'tool_type': 'Ramp'}
{'angle': 2.6179938779914944, 'elasticity': 0.5, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 174, 'tool_type': 'Ramp'}
